condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_intro.started,text_intro.stopped,text_cross.started,text_cross.stopped,text_pre_condition.started,text_pre_condition.stopped,text_pre_fix.started,text_pre_fix.stopped,text_condition.started,text_condition.stopped,text.started,text.stopped,text_end.started,text_end.stopped,participant,session,date,expName,psychopyVersion,frameRate,
feet,35,0,70,0,,,839.5931658999907,None,842.6100078000018,None,842.6100078000018,None,844.1100772999926,None,849.0935693999927,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,35,1,71,0,,,851.0937109999941,None,854.0938110999996,None,854.0938110999996,None,855.5939328999957,None,860.5940598000016,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,36,0,72,1,,,862.5941440000024,None,865.610986300002,None,865.610986300002,None,867.0943324999971,None,872.0946071999933,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,36,1,73,0,,,874.0946884000005,None,877.1114910999895,None,877.1114910999895,None,878.6115520999883,None,883.5950368999911,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,37,0,74,0,,,885.5952044000005,None,888.5953470999957,None,888.5953470999957,None,890.0787057999987,None,895.0788551000005,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,37,1,75,0,,,897.0789362999931,None,900.0790703999955,None,900.0790703999955,None,901.5792336000013,None,906.5793451999925,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,38,0,76,1,,,908.5794324000017,None,911.5963324999902,None,911.5963324999902,None,913.0963128000003,None,918.0798383999936,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,38,1,77,0,,,920.079908300002,None,923.0967974999949,None,923.0967974999949,None,924.5968045999907,None,929.5816788999946,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,39,0,78,1,,,931.5804686999909,None,934.5972031999991,None,934.5972031999991,None,936.0973737999884,None,941.0808864999999,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,39,1,79,1,,,943.0808778999926,None,946.0810098999937,None,946.0810098999937,None,947.5810779000021,None,952.5813104999979,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,40,0,80,0,,,954.5814390000014,None,957.5981723000004,None,957.5981723000004,None,959.0982334,None,964.0818692999892,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,40,1,81,0,,,966.0818523999915,None,969.0819833999994,None,969.0819833999994,None,970.5821089999954,None,975.5822753999964,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,41,0,82,0,,,977.5824226999976,None,980.5825492000004,None,980.5825492000004,None,982.082614599989,None,987.0827805000008,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,41,1,83,0,,,989.0829339999909,None,992.0830337999942,None,992.0830337999942,None,993.5831010999973,None,998.5833106999926,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,42,0,84,1,,,1000.5833524999907,None,1003.6001489999908,None,1003.6001489999908,None,1005.1003354999993,None,1010.0838261000026,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,42,1,85,1,,,1012.08385119999,None,1015.0839594999998,None,1015.0839594999998,None,1016.5840796999983,None,1021.5842760999949,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,43,0,86,1,,,1023.5843370999937,None,1026.5845267999975,None,1026.5845267999975,None,1028.0845259999915,None,1033.0848483000009,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,43,1,87,0,,,1035.0849102999928,None,1038.1016241999896,None,1038.1016241999896,None,1039.6016874999914,None,1044.5852307999885,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,44,0,88,0,,,1046.5853937999927,None,1049.5854445000004,None,1049.5854445000004,None,1051.0855690999888,None,1056.0858014999976,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,44,1,89,0,,,1058.0858909999952,None,1061.0859800999897,None,1061.0859800999897,None,1062.585983099998,None,1067.5862142999977,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
